"filename", "language", "Ini", "C++", "C", "Properties", "Markdown", "YAML", "JSON", "comment", "blank", "total"
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\headers\buttonPad.h", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\headers\core.h", "C++", 0, 72, 0, 0, 0, 0, 0, 2, 23, 97
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\headers\mapHandler.h", "C++", 0, 110, 0, 0, 0, 0, 0, 0, 40, 150
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\headers\screenControl.h", "C++", 0, 28, 0, 0, 0, 0, 0, 0, 11, 39
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\headers\speedMeasurement.h", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\headers\storageHandler.h", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 12, 29
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\headers\ui.h", "C++", 0, 104, 0, 0, 0, 0, 0, 5, 20, 129
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\DueTimer\DueTimer.cpp", "C++", 0, 193, 0, 0, 0, 0, 0, 78, 48, 319
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\DueTimer\DueTimer.h", "C++", 0, 72, 0, 0, 0, 0, 0, 25, 26, 123
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\DueTimer\README.md", "Markdown", 0, 0, 0, 0, 83, 0, 0, 0, 43, 126
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\DueTimer\TimerCounter.md", "Markdown", 0, 0, 0, 0, 80, 0, 0, 0, 27, 107
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\DueTimer\library.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 3, 0, 28
"c:\Users\Tuomas\Documents\PlatformIO\Projects\openATControl\lib\DueTimer\library.properties", "Properties", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
